Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Catharanthus pusillus (Murray) G.Don,,,,,,,,,399,PL
Catharanthus roseus (L.) G.Don,,,,,,,,,399,PL
Celosia argentea L.,,,,,,,,,399,PL
Celtis australis L.,,,,,,,,,,
Celtis sinensis Pers.,,,,,,,,,,
Cenchrus clandestinus (Hochst. ex Chiov.) Morrone,,,,,,,,,,
Cenchrus echinatus L.,,,,,,,,,,
Centaurea calcitrapa L.,,,,,,,,,,
Centaurea iberica Trevir. ex Spreng.,,,,,,,,,,
Centaurea melitensis L.,,,,,,,,,,
Centratherum punctatum Cass.,,,,,,,,,,
Centrosema molle Benth.,,,,,,,,,,
Centrosema pubescens Benth.,,,,,,,,,,
Centrosema virginianum (L.) Benth.,,,,,,,,,,
Centrostachys aquatica (R.Br.) Moq.,,,,,,,,,,
Cerastium glomeratum Thuill.,,,,,,,,,,
Ceratocephalus falcatus (L.) Pers.,,,,,,,,,,
Ceratophyllum demersum L.,,,,,,,,,,
Ceratotheca triloba (Bernh.) Hook.f.,,,,,,,,,,
Cereus fernambucensis Lem.,,,,,,,,,,
Cereus forbesii C.F.Först.,,,,,,,,,,
Cereus hexagonus (L.) Mill.,1,,214,,,,,,,NL
Cereus hildmannianus K.Schum.,,,,,,,,,,
Cereus repandus Haw.,,,,,,,,,,
Cestrum aurantiacum Lindl.,1,,275,,,,,,399,NL;PL
Cestrum corymbosum Schltdl.,,,,,,,,,,
Cestrum diurnum L.,1,,292,,,,,,499,NL;PL
Cestrum elegans (Brongn. ex Neumann) Schltdl.,,,,,,,,,399,PL
Cestrum fasciculatum (Schltdl.) Miers,,,,,,,,,,
Cestrum nocturnum L.,1,,136,,,,,,499,NL;PL
Chamaecrista absus (L.) H.S.Irwin & Barneby,,,,,,,,,899,PL
Chamaecrista pumila (Lam.) K.Larsen,,,,,,,,,,
Chamaecrista rotundifolia (Pers.) Greene,,,,,,,,,,
Chenopodium album L.,,,,,,,,,,
Chenopodium foliosum Asch.,,,,,,,,,,
Chenopodium murale L.,,,,,,,,,,
Chenopodium opulifolium Schrad. ex W.D.J.Koch & Ziz,,,,,,,,,,
Chionochloa conspicua (G.Forst.) Zotov,,,,,,,,,,
Chloris barbata Sw.,,,,,,,,,,
Chloris gayana Kunth,,,,,,,,,,
Chloris pycnothrix Trin.,,,,,,,,,,
Christella dentata (Forssk.) Brownsey & Jermy,,,,,,,,,,
Chromolaena corymbosa (Aubl.) R.M.King & H.Rob.,,,,,,,,,,
Chromolaena odorata (L.) R.M.King & H.Rob.,,,,,,,,,,
Chrozophora plicata (Vahl) A.Juss. ex Spreng.,,,,,,,,,,
Chrozophora rottleri (Geiseler) A.Juss. ex Spreng.,1,,155,,,,,,,NL
Chrysanthemoides monilifera (L.) Norl.,,,,,,,,,,
Chrysobalanus icaco L.,,,,,,,,,,
Chrysothemis pulchella (Donn ex Sims) Decne.,,,,,,,,,399,PL
Cichorium endivia L.,,,,,,,,,,
Cichorium intybus L.,,,,,,,,,,
Cinnamomum camphora (L.) J.Presl,1,,147,1,115,0.5,,232,1499,NL;PL
Cinnamomum cassia (L.) J.Presl,1,,271,,,,,,,NL
Cipura paludosa Aubl.,,,,,,,,,,
Cirsium arvense (L.) Scop.,,,,,,,,,,
Cissampelos pareira L.,,,,,,,,,,
Citharexylum spinosum L.,1,,12,,,,,,449,NL;PL
Citrullus colocynthis (L.) Schrad.,,,,,,,,,899,PL
Citrullus lanatus (Thunb.) Matsum. & Nakai,,,,,,,,,,
Cladium mariscus (L.) Pohl,,,,,,,,,,
Clarkia unguiculata Lindl.,,,,,,,,,,
Clematis flammula L.,,,,,,,,,,
Clematis recta L.,,,,,,,,,399,PL
Clematis terniflora DC.,,,,,,,,,,
Clematis vitalba L.,,,,,,,,,,
Cleome chelidonii L.f.,,,,,,,,,,
Cleome gynandra L.,,,,,,,,,,
Cleome monophylla L.,,,,,,,,,499,PL
Cleome rosea Vahl ex DC.,,,,,,,,,,
Cleome rutidosperma DC.,,,,,,,,,,
Cleome spinosa Jacq.,1,145,524,,,,,,,NL
Cleome viscosa L.,1,,132,,,,,,,NL
Cleoserrata speciosa (Raf.) Iltis,,,,,,,,,,
Clerodendrum capitatum (Willd.) Schumach. & Thonn.,,,,,,,,,,
Clerodendrum chinense (Osbeck) Mabb.,1,,117,,,,,,451,NL;PL
Clerodendrum paniculatum L.,1,,126,,,,,,499,NL;PL
Clerodendrum thomsoniae Balf.f.,1,499,NEW,,,,,,,NL
Clethra arborea Aiton,,,,,,,,,,
Clianthus puniceus (G.Don) Lindl.,,,,,,,,,,
Clidemia hirta (L.) D.Don,,,,,,,,,299,PL
Clinanthus coccineus (Ruiz & Pav.) Meerow,,,,,,,,,,
Clinopodium vulgare L.,,,,,,,,,,
Clitoria ternatea L.,1,299,541,1,4576,0.5,,265,262,NL;PL
Cobaea scandens Cav.,,,,,,,,,,
Coccothrinax barbadensis (Lodd. ex Mart.) Becc.,,,,,,,,,,
Cocos nucifera L.,1,,226,,,,,,686,NL;PL
Coix lacryma-jobi L.,,,,,,,,,,
Coldenia procumbens L.,,,,,,,,,,
Colea colei (Bojer ex Hook.) M.L.Green,,,,,,,,,,
Colletia spinosissima J.F.Gmel.,,,,,,,,,,
Colocasia esculenta (L.) Schott,,,,,,,,,,
Combretum indicum (L.) DeFilipps,,,,,,,,,499,PL
Commelina virginica L.,,,,,,,,,,
Commiphora gileadensis (L.) C.Chr.,,,,,,,,,,
Congea velutina Wight,,,,,,,,,899,PL
Consolida regalis Gray,,,,,,,,,,
Convolvulus arvensis L.,,,,,,,,,,
Conyza sumatrensis (S.F.Blake) Pruski & G.Sancho,,,,,,,,,,
Corchorus aestuans L.,,,,,,,,,,
Corchorus capsularis L.,1,399,,,,,,,,NL
Corchorus fascicularis Lam.,,,,,,,,,,
Corchorus olitorius L.,,,,,,,,,499,PL
Corchorus tridens L.,,,,,,,,,499,PL
Corchorus trilocularis L.,,,,,,,,,499,PL
Cordia cylindrostachya (Ruiz & Pav.) Roem. & Schult.,,,,,,,,,,
Cordyline australis Hook.f.,,,,,,,,,,
Cordyline fruticosa (L.) A.Chev.,1,449,,,,,,,399,NL;PL
Cordyline pumilio Hook.f.,,,,,,,,,,
Coreopsis grandiflora Hogg ex Sweet,,,,,,,,,399,PL
Coriandrum sativum L.,,,,,,,,,,
Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,1,399,554,,,,,,,NL
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,499,PL
Corymbia maculata (Hook.) K.D.Hill & L.A.S.Johnson,,,,,,,,,,
Cosmos bipinnatus Cav.,,,,,,,,,,
Cosmos sulphureus Cav.,,,,,,,,,,
Costus erythrophyllus Loes.,1,,184,,,,,,499,NL;PL
Costus malortieanus H.Wendl.,1,349,2354,,,,,,399,NL;PL
Cotoneaster transens G.Klotz,,,,,,,,,,
Cotula australis (Sieber ex Spreng.) Hook.f.,,,,,,,,,,
Crassocephalum crepidioides (Benth.) S.Moore,,,,,,,,,,
Crassocephalum vitellinum (Benth.) S.Moore,,,,,,,,,,
Crassula coccinea L.,,,,,,,,,,
Crassula multicava Lem.,,,,,,,,,,
Crataegus monogyna Jacq.,,,,,,,,,,
Craterostigma plantagineum Hochst.,,,,,,,,,,
Crepis sancta (L.) Bornm.,,,,,,,,,,
Crescentia alata Kunth,,,,,,,,,,
Crinum moorei Hook.f.,,,,1,52,,,593,399,NL;PL
Crocosmia pottsii (Baker) N.E.Br.,,,,,,,,,,
Crossostephium artemisioides Less.,,,,,,,,,,
Crotalaria goreensis Guill. & Perr.,,,,,,,,,,
Crotalaria incana L.,,,,,,,,,,
Crotalaria juncea L.,,,,1,85,0.5,,148,899,NL;PL
Crotalaria medicaginea Lam.,,,,,,,,,,
Crotalaria micans Link,,,,,,,,,,
Crotalaria pallida Aiton,,,,,,,,,,
Croton bonplandianus Baill.,,,,,,,,,,
Croton hirtus L'Hér.,,,,,,,,,,
Cryosophila nana (Kunth) Blume,,,,,,,,,,
Cryptanthus zonatus (Vis.) Beer,,,,,,,,,399,PL
Cryptostegia grandiflora Roxb. ex R.Br.,,,,,,,,,399,PL
Cryptostegia madagascariensis Bojer ex Decne.,,,,,,,,,,
Cuphea bustamanta Lex.,,,,,,,,,,
Cuphea hyssopifolia Kunth,1,349,547,,,,,,291,NL;PL
Cuphea ignea A.DC.,,,,,,,,,399,PL
Cuphea lanceolata W.T.Aiton,,,,,,,,,,
Cuphea llavea Lex.,,,,,,,,,399,PL
Cuphea melvilla Lindl.,,,,,,,,,399,PL
Cuphea micropetala Kunth,,,,,,,,,,
